Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
ratio_max_VAR5_trx_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_ban_tipo_cli,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_std_VAR4_trx_groupby_tipo_seg,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
mean_VAR4_sum_groupby_tipo_ban_tipo_seg,Media de VAR4_sum agrupada por tipo_ban_tipo_seg,✓, ,✓
ratio_max_VAR3_sum_groupby_tipo_cat,Ratio entre max_VAR3 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_seg,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR12_sum_groupby_categoria,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_cat,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_com,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_cat,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_mean_VAR4_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR24_sum_groupby_categoria,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_std_VAR2_sum_groupby_tipo_seg,Ratio entre std_VAR2 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR1_sum_groupby_categoria,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR5_trx_groupby_categoria,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_ban,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_mean_VAR5_trx_groupby_tipo_cat,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_mean_VAR25_sum_groupby_tipo_seg_tipo_cli,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR24_sum_groupby_tipo_ban,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR13_sum_groupby_tipo_cat,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR23_sum_groupby_categoria,Ratio entre max_VAR23 y el valor máximo de dicha variable agrupada por categoria ,✓, ,✓
ratio_std_VAR25_trx_groupby_tipo_seg_tipo_cli,Ratio entre std_VAR25 y el valor de la desviacion de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
diff_mean_VAR2_sum_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_std_VAR5_sum_groupby_tipo_com,Ratio entre std_VAR5 y el valor de la desviacion de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_std_VAR4_sum_groupby_tipo_seg_tipo_cli,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_cli,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cli ,✓, ,✓
 , ,✓, ,✓
ratio_mean_VAR2_sum_groupby_tipo_ban_tipo_cli,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_max_VAR5_sum_groupby_tipo_com,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_com ,✓, ,✓
diff_mean_VAR28_sum_groupby_tipo_cat,Diferencia entre mean_VAR28 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
mean_VAR16_sum_groupby_tipo_ban_tipo_seg,Media de VAR16_sum agrupada por tipo_ban_tipo_seg,✓, ,✓
ratio_std_VAR25_trx_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR25 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_seg_tipo_cli,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_ban_tipo_cli,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_std_VAR4_sum_groupby_tipo_seg,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR16_sum_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_ban_tipo_cli,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_max_VAR4_trx_groupby_tipo_seg,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_std_VAR4_sum_groupby_tipo_ban,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR2_prom_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_cat,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR24_prom_groupby_categoria,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por categoria ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_ban,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
max_VAR23_trx_groupby_tipo_cat,Maximo valor de VAR23_trx agrupada por tipo_cat,✓, ,✓
diff_mean_VAR4_prom_groupby_tipo_cat,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR11_sum_groupby_tipo_seg_tipo_cli,Ratio entre std_VAR11 y el valor de la desviacion de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_com,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_mean_VAR4_sum_groupby_categoria,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_seg,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_cat,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR5_trx_groupby_tipo_ban_tipo_cli,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_ban,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR4_sum_groupby_categoria,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR24_sum_groupby_tipo_cat,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR24_trx_groupby_tipo_cli,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_cli ,✓, ,✓
diff_mean_VAR13_sum_groupby_tipo_ban_tipo_cli,Diferencia entre mean_VAR13 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_mean_VAR1_sum_groupby_categoria,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_com,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_com ,✓, ,✓
mean_VAR4_trx_groupby_tipo_ban_tipo_seg,Media de VAR4_trx agrupada por tipo_ban_tipo_seg,✓, ,✓
std_VAR23_trx_groupby_tipo_cat,Desviacion Estandar de VAR23_trx agrupada por tipo_cat,✓, ,✓
ratio_max_VAR4_sum_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_ban,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_seg,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR11_sum_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR11 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_seg,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_std_VAR7_sum_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR7 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR12_sum_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR7_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR7 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_seg,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_seg,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR24_prom_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR13_sum_groupby_tipo_seg,Ratio entre max_VAR13 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_std_VAR24_sum_groupby_categoria,Ratio entre std_VAR24 y el valor de la desviacion de dicha variable agrupada por categoria ,✓, ,✓
ratio_max_VAR5_trx_groupby_tipo_ban,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_max_VAR24_sum_groupby_tipo_cat,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR3_sum_groupby_tipo_seg,Ratio entre std_VAR3 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_seg,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_com,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_com ,✓, ,✓
mean_VAR23_sum_groupby_tipo_ban_tipo_seg,Media de VAR23_sum agrupada por tipo_ban_tipo_seg,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_cli,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cli ,✓, ,✓
ratio_mean_VAR25_trx_groupby_tipo_ban_tipo_cli,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_seg_tipo_cli,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_cat,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR1_prom_groupby_tipo_ban,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_cat,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR24_trx_groupby_tipo_seg,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_cat,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
std_VAR16_sum_groupby_tipo_ban_tipo_seg,Desviacion Estandar de VAR16_sum agrupada por tipo_ban_tipo_seg,✓, ,✓
ratio_max_VAR24_trx_groupby_tipo_cat,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR16_sum_groupby_categoria,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
diff_mean_VAR23_sum_groupby_tipo_ban,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR24_trx_groupby_categoria,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_max_VAR24_sum_groupby_tipo_cli,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_cli ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_com,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_max_VAR4_trx_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_ban,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_cli,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_cli ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_ban_tipo_cli,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_cat,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR24_sum_groupby_tipo_ban_tipo_cli,Diferencia entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_std_VAR25_trx_groupby_tipo_cat,Ratio entre std_VAR25 y el valor de la desviacion de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR1_prom_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_seg,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR5_sum_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR16_sum_groupby_tipo_ban_tipo_cli,Ratio entre max_VAR16 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
diff_mean_VAR5_trx_groupby_categoria,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
diff_mean_VAR4_trx_groupby_categoria,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR16_sum_groupby_tipo_seg,Diferencia entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_std_VAR5_sum_groupby_categoria,Ratio entre std_VAR5 y el valor de la desviacion de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_seg_tipo_cli,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_mean_VAR24_prom_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
diff_mean_VAR4_sum_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_ban_tipo_cli,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
diff_mean_VAR5_trx_groupby_tipo_ban,Diferencia entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR25_trx_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR25_trx_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR25 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_com,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_seg_tipo_cli,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_max_VAR24_trx_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR24 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR2_sum_groupby_tipo_ban,Ratio entre max_VAR2 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_max_VAR4_sum_groupby_tipo_ban,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_std_VAR1_prom_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR1_trx_groupby_tipo_cat,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR1_prom_groupby_tipo_cat,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR4_sum_groupby_tipo_com,Ratio entre std_VAR4 y el valor de la desviacion de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_mean_VAR1_trx_groupby_tipo_ban_tipo_cli,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban_tipo_cli ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_std_VAR16_sum_groupby_tipo_seg,Ratio entre std_VAR16 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR1_sum_groupby_tipo_cli,Ratio entre max_VAR1 y el valor máximo de dicha variable agrupada por tipo_cli ,✓, ,✓
ratio_std_VAR2_sum_groupby_tipo_com,Ratio entre std_VAR2 y el valor de la desviacion de dicha variable agrupada por tipo_com ,✓, ,✓
diff_mean_VAR14_sum_groupby_tipo_seg,Diferencia entre mean_VAR14 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR11_sum_groupby_tipo_cat,Ratio entre max_VAR11 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR25_trx_groupby_tipo_seg_tipo_cli,Ratio entre max_VAR25 y el valor máximo de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_std_VAR25_trx_groupby_tipo_seg,Ratio entre std_VAR25 y el valor de la desviacion de dicha variable agrupada por tipo_seg ,✓, ,✓
diff_mean_VAR2_trx_groupby_tipo_cat,Diferencia entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR23_sum_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_cat,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_com,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_com ,✓, ,✓
diff_mean_VAR25_trx_groupby_tipo_cat,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_mean_VAR5_trx_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR23_trx_groupby_tipo_cat,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_mean_VAR24_prom_groupby_categoria,Ratio entre mean_VAR24 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_mean_VAR1_sum_groupby_tipo_ban,Ratio entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_max_VAR25_sum_groupby_tipo_ban,Ratio entre max_VAR25 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR3_sum_groupby_tipo_ban,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_mean_VAR2_sum_groupby_tipo_ban_tipo_seg,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR4_trx_groupby_tipo_cat,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_mean_VAR25_prom_groupby_tipo_seg_tipo_cli,Ratio entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
ratio_mean_VAR2_sum_groupby_tipo_com,Ratio entre mean_VAR2 y el valor medio de dicha variable agrupada por tipo_com ,✓, ,✓
ratio_max_VAR23_sum_groupby_tipo_ban_tipo_seg,Ratio entre max_VAR23 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR3_sum_groupby_tipo_seg,Ratio entre max_VAR3 y el valor máximo de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR4_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_max_VAR4_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre max_VAR4 y el valor máximo de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR1_sum_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR3_sum_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_std_VAR23_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR23 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR3_trx_groupby_tipo_cli_and_mes,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_cli_and_mes,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_cli y mes ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_seg_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_std_VAR1_trx_groupby_tipo_com_and_mes,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_com y mes ,✓, ,✓
ratio_mean_VAR12_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR12 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_mean_VAR23_sum_groupby_tipo_seg_and_mes,Ratio entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
ratio_mean_VAR16_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR16 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
diff_mean_VAR4_trx_groupby_tipo_seg_and_mes,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_seg y mes ,✓, ,✓
diff_mean_VAR25_trx_groupby_tipo_seg_tipo_cli_and_mes,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli y mes ,✓, ,✓
diff_mean_VAR23_prom_groupby_tipo_ban_and_mes,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban y mes ,✓, ,✓
ratio_mean_VAR3_trx_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
ratio_std_VAR12_sum_groupby_tipo_ban_tipo_seg_and_mes,Ratio entre std_VAR12 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg y mes ,✓, ,✓
